symbol,condition,window_h,n_occurrences,win_rate,baseline_wr,edge_vs_base,avg_return,median_return,edge_score
AAVEUSDT,squeeze_breakout_down,12,40,0.65,0.455,0.195,0.0065,0.0128,0.8016373868526844
ARPAUSDT,bb_near_lower,24,201,0.607,0.515,0.092,0.0071,0.0092,0.791725343497352
SOLUSDT,bb_upper_high_volume,12,56,0.6071,0.433,0.1741,0.001,0.0052,0.7909572614695421
PEPEUSDT,trend_down,12,525,0.4686,0.395,0.0736,0.0018,0.0,0.7902413492015208
FLOWUSDT,bb_expansion,12,237,0.5105,0.41,0.1005,0.0213,0.0038,0.7898342842535467
ARPAUSDT,price_below_ema21,24,478,0.5774,0.515,0.0624,0.0043,0.007,0.7877262490893222
XRPUSDT,momentum_12h_neg,4,169,0.574,0.469,0.105,0.0018,0.0018,0.7835099999999999
BNBUSDT,trend_down,24,427,0.5129,0.439,0.0739,0.002,0.0018,0.7832331760875906
VETUSDT,trend_down,12,463,0.4968,0.424,0.0728,0.0032,-0.0004,0.7782219247961476
DOGEUSDT,bb_near_lower,4,203,0.5665,0.471,0.0955,0.0011,0.0013,0.7708170363738645
BNBUSDT,rsi_below_30,12,74,0.5946,0.444,0.1506,0.0035,0.0014,0.770310356129802
LTCUSDT,rsi_30_50,24,450,0.5267,0.458,0.0687,0.0009,0.0029,0.7675847049426173
BTCUSDT,rsi_30_50,24,418,0.5359,0.466,0.0699,0.0012,0.0033,0.7658594467492753
FLOWUSDT,bb_expansion,1,237,0.5485,0.458,0.0905,0.003,0.0016,0.7641865402591911
PEPEUSDT,rsi_below_30,4,57,0.5965,0.427,0.1695,0.0052,0.0061,0.7633392227883109
ARPAUSDT,rsi_30_50,24,414,0.5797,0.515,0.0647,0.0024,0.0061,0.7631462097653589
BNBUSDT,rsi_30_50,24,464,0.5086,0.439,0.0696,0.0011,0.0019,0.7625083181409567
INJUSDT,rsi_below_40,24,295,0.522,0.437,0.085,0.0044,0.0049,0.762079776335785
XRPUSDT,momentum_12h_neg,12,169,0.5325,0.423,0.1095,0.0031,0.0014,0.7580137499999999
ZECUSDT,rsi_below_30,4,80,0.575,0.428,0.147,0.0021,0.0042,0.7560145831926789
AVAXUSDT,ranging_bb_upper,4,54,0.6111,0.443,0.1681,0.0058,0.0034,0.7548781885892036
ARPAUSDT,squeeze_breakout_up,12,35,0.6857,0.5,0.1857,0.0035,0.0044,0.7533210019803002
FLOWUSDT,rsi_above_60,4,136,0.5662,0.453,0.1132,0.0113,0.0053,0.7474561955918231
DOGEUSDT,momentum_continuation_up,1,46,0.6522,0.484,0.1682,0.0018,0.0034,0.7440218704420412
WIFUSDT,bb_squeeze,24,299,0.5084,0.424,0.0844,0.0023,0.0086,0.7419652792659495
DOGEUSDT,oversold_high_volume,12,44,0.6136,0.432,0.1816,0.0063,0.0015,0.739141408798705
VETUSDT,rsi_below_30,4,59,0.6271,0.476,0.1511,0.0013,0.0034,0.7278255059215979
ATOMUSDT,bb_mid,12,172,0.5291,0.425,0.1041,0.0008,0.0016,0.7223583785719447
SUIUSDT,rsi_30_50,24,481,0.499,0.433,0.066,0.0024,0.0019,0.7222990095770588
FLOWUSDT,rsi_above_65,1,94,0.5851,0.458,0.1271,0.0063,0.0027,0.7210071565787856
AAVEUSDT,very_high_volume,24,94,0.5532,0.419,0.1342,0.0009,0.0052,0.7197780758277363
INJUSDT,trend_down,12,463,0.4946,0.427,0.0676,0.0017,0.0,0.7194345715513959
BTCUSDT,price_below_ema50,24,507,0.5266,0.466,0.0606,0.0028,0.0031,0.7185507691583741
BTCUSDT,momentum_12h_neg,4,134,0.5896,0.485,0.1046,0.002,0.0017,0.7139068656027833
ARPAUSDT,price_below_ema50,12,484,0.5579,0.5,0.0579,0.0035,0.004,0.71065302
AVAXUSDT,trend_down,24,400,0.53,0.463,0.067,0.009,0.0022,0.7102000000000002
AAVEUSDT,strong_mom_down,4,119,0.5714,0.458,0.1134,0.0025,0.002,0.7068492008011429
CRVUSDT,trend_down,24,495,0.503,0.44,0.063,0.0017,0.0013,0.7050357415727233
UNIUSDT,ranging_bb_upper,12,43,0.6279,0.457,0.1709,0.0123,0.0085,0.7036663344840367
SUIUSDT,rsi_below_30,12,76,0.5921,0.456,0.1361,0.0087,0.0038,0.7025220863488518
BNBUSDT,big_candle,12,250,0.528,0.444,0.084,0.0015,0.0011,0.7012666939189399
SUIUSDT,trend_down,24,438,0.5,0.433,0.067,0.0047,0.0013,0.7011030594712877
PEPEUSDT,bb_upper_high_volume,4,64,0.5781,0.427,0.1511,0.0081,0.0075,0.69880728
ARPAUSDT,squeeze_breakout_down,12,44,0.6591,0.5,0.1591,0.0077,0.0074,0.6955811904646563
VETUSDT,rsi_30_50,24,519,0.4759,0.412,0.0639,0.0011,-0.0016,0.6927878171242995
OPUSDT,rsi_below_40,24,235,0.5319,0.447,0.0849,0.0054,0.0034,0.6922637835992749
OPUSDT,ranging_bb_lower,24,42,0.619,0.447,0.172,0.0042,0.0151,0.689991500678088
XRPUSDT,high_volume,12,174,0.523,0.423,0.1,0.0016,0.0014,0.6898843816176737
SOLUSDT,very_high_volume,12,81,0.5679,0.433,0.1349,0.0031,0.0037,0.6894873899999999
LTCUSDT,trend_down_oversold,24,110,0.5727,0.458,0.1147,0.0057,0.0043,0.6889487929670616
DOGEUSDT,rsi_below_30,12,58,0.5862,0.432,0.1542,0.0048,0.0028,0.6884052672161747
ARPAUSDT,price_below_ema21,12,478,0.5565,0.5,0.0565,0.0026,0.004,0.6874285494943275
BNBUSDT,momentum_12h_neg,12,97,0.567,0.444,0.123,0.0037,0.0013,0.686869191955062
SOLUSDT,ranging_bb_upper,12,58,0.5862,0.433,0.1532,0.0109,0.0054,0.6839409010215173
FLOWUSDT,bb_expansion,4,237,0.5359,0.453,0.0829,0.008,0.0014,0.6839312700750769
VETUSDT,rsi_below_35,24,146,0.5205,0.412,0.1085,0.0044,0.0015,0.6823809590742733
OPUSDT,strong_mom_down,12,105,0.5619,0.444,0.1179,0.0113,0.0044,0.6788400968127991
ETHUSDT,rsi_30_50,24,441,0.5442,0.485,0.0592,0.0064,0.0049,0.6765494400000001
INJUSDT,squeeze_breakout_down,12,36,0.6111,0.427,0.1841,0.0048,0.0059,0.6750210600000001
INJUSDT,squeeze_breakout_up,12,36,0.6111,0.427,0.1841,0.0088,0.0075,0.6750210600000001
VETUSDT,rsi_below_30,12,59,0.5763,0.424,0.1523,0.0072,0.001,0.6741779260518442
WIFUSDT,squeeze_breakout_down,12,72,0.5694,0.431,0.1384,0.0037,0.0059,0.6686822592856155
WIFUSDT,very_high_volume,1,83,0.506,0.361,0.145,0.0014,0.0046,0.6684325117018172
AAVEUSDT,trend_down_oversold,12,152,0.5526,0.455,0.0976,0.0056,0.0031,0.6649400507535361
CRVUSDT,very_high_volume,24,77,0.5714,0.44,0.1314,0.0066,0.0047,0.6588415251355999
LTCUSDT,rsi_below_35,4,118,0.5847,0.481,0.1037,0.0013,0.002,0.6586472060073342
SUIUSDT,momentum_12h_neg,24,249,0.5141,0.433,0.0811,0.0029,0.0019,0.6579124905744722
XRPUSDT,rsi_below_40,4,232,0.5474,0.469,0.0784,0.0007,0.0008,0.6536794742699048
WIFUSDT,ranging_bb_lower,4,34,0.5882,0.399,0.1892,0.0028,0.0053,0.6489117091404827
SUIUSDT,ranging_bb_upper,4,54,0.6111,0.467,0.1441,0.0055,0.0042,0.6471025994985381
SUIUSDT,squeeze_breakout_up,24,53,0.5849,0.433,0.1519,0.0072,0.0069,0.6468109000570826
DOGEUSDT,bb_lower_high_volume,12,55,0.5818,0.432,0.1498,0.0039,0.0011,0.6463486931128799
ETHUSDT,ranging_bb_upper,12,43,0.6279,0.471,0.1569,0.0127,0.0087,0.6460225153923076
ADAUSDT,trend_down,24,502,0.4641,0.402,0.0621,0.0034,-0.0021,0.6457360416668673
DOGEUSDT,very_high_volume,1,105,0.5905,0.484,0.1065,0.0015,0.0016,0.6444128015073587
FLOWUSDT,rsi_above_70,12,59,0.5593,0.41,0.1493,0.0472,0.0105,0.6414024771456889
OPUSDT,small_candle,12,245,0.5224,0.444,0.0784,0.0013,0.0035,0.6410653050015046
BNBUSDT,trend_mixed,4,207,0.57,0.492,0.078,0.0016,0.0012,0.6396680085794505
AAVEUSDT,price_below_ema50,24,568,0.4754,0.419,0.0564,0.0043,-0.0002,0.6390170547740057
INJUSDT,squeeze_breakout_down,24,36,0.6111,0.437,0.1741,0.01,0.0269,0.63835506
INJUSDT,squeeze_breakout_up,24,36,0.6111,0.437,0.1741,0.0044,0.0091,0.63835506
BTCUSDT,big_candle,12,242,0.5413,0.466,0.0753,0.0036,0.002,0.6340750816271905
ARPAUSDT,bb_near_lower,12,201,0.5771,0.5,0.0771,0.0067,0.0042,0.630817134176671
SOLUSDT,trend_mixed,4,228,0.557,0.482,0.075,0.0023,0.0019,0.6307886670668712
AAVEUSDT,trend_down,4,454,0.5154,0.458,0.0574,0.0009,0.0004,0.6303535935757377
VETUSDT,bb_near_lower,24,243,0.4938,0.412,0.0818,0.0024,-0.0011,0.6296620602780041
SOLUSDT,big_candle,12,238,0.5126,0.433,0.0796,0.0036,0.0008,0.6294774083740104
OPUSDT,ranging_bb_upper,4,51,0.6078,0.465,0.1428,0.0066,0.004,0.6198319963983997
CRVUSDT,momentum_12h_neg,24,275,0.5127,0.44,0.0727,0.003,0.0011,0.6181075881605302
OPUSDT,ranging_bb_lower,4,42,0.619,0.465,0.154,0.0025,0.0035,0.6177830878164278
CRVUSDT,strong_mom_down,4,113,0.5664,0.464,0.1024,0.001,0.0032,0.6165416538452896
VETUSDT,bb_squeeze,12,260,0.5,0.424,0.076,0.0019,0.0001,0.6127315888706897
PEPEUSDT,rsi_below_30,12,57,0.5439,0.395,0.1489,0.0084,0.0031,0.6114362519572861
DOGEUSDT,rsi_below_30,4,58,0.6034,0.471,0.1324,0.0022,0.0027,0.6084253319511647
DOGEUSDT,price_below_ema21,24,589,0.4754,0.423,0.0524,0.0031,-0.0012,0.6045721145269789
CRVUSDT,squeeze_breakout_up,24,59,0.5763,0.44,0.1363,0.0082,0.0113,0.6033516173398974
BTCUSDT,trend_down,24,369,0.5257,0.466,0.0597,0.003,0.0033,0.6028725239208641
XRPUSDT,bb_lower_high_volume,24,67,0.5522,0.419,0.1332,0.0034,0.0013,0.6020575798436453
PEPEUSDT,very_high_volume,1,75,0.5333,0.403,0.1303,0.0016,0.0028,0.6017923062332283
INJUSDT,squeeze_breakout_down,4,36,0.6111,0.447,0.1641,0.0026,0.0013,0.60168906
XRPUSDT,trend_down_oversold,4,124,0.5645,0.469,0.0955,0.0016,0.0008,0.6003135697181515
PEPEUSDT,bb_squeeze,12,278,0.4712,0.395,0.0762,0.0037,0.0,0.59866332174522
FLOWUSDT,trend_mixed,12,200,0.495,0.41,0.085,0.0161,0.0,0.5950303563684798
XRPUSDT,rsi_below_35,4,128,0.5625,0.469,0.0935,0.0014,0.0008,0.5950303563684798
FLOWUSDT,bb_upper_high_volume,12,54,0.5556,0.41,0.1456,0.0251,0.0098,0.5944570636762577
INJUSDT,rsi_below_35,24,172,0.5233,0.437,0.0863,0.0078,0.0042,0.5922782082678251
SUIUSDT,price_below_ema21,24,570,0.4842,0.433,0.0512,0.0019,-0.0005,0.5918779676930981
SOLUSDT,high_volume,12,165,0.5212,0.433,0.0882,0.003,0.0004,0.5904932864040234
NEARUSDT,trend_down_oversold,1,93,0.5699,0.463,0.1069,0.0019,0.0009,0.5875134811929487
DOGEUSDT,bb_near_lower,12,203,0.5123,0.432,0.0803,0.0036,0.0005,0.5861218613247831
DOGEUSDT,high_volume,1,176,0.5625,0.484,0.0785,0.0006,0.0009,0.5857988535965225
ARPAUSDT,strong_mom_down,24,43,0.6512,0.515,0.1362,0.0129,0.018,0.581601780308868
XRPUSDT,bb_expansion,4,279,0.5341,0.469,0.0651,0.0014,0.0011,0.5807719973904217
ADAUSDT,strong_mom_down,4,77,0.5584,0.44,0.1184,0.0006,0.0011,0.5801529094880998
PEPEUSDT,rsi_below_30,1,57,0.5439,0.403,0.1409,0.0025,0.0029,0.578585412362536
ARPAUSDT,very_high_volume,12,97,0.5979,0.5,0.0979,0.006,0.0044,0.5764970806020319
ATOMUSDT,rsi_below_30,12,73,0.5479,0.425,0.1229,0.0022,0.0024,0.5753268112381096
AVAXUSDT,high_volatility,12,66,0.5758,0.453,0.1228,0.001,0.0026,0.5744364572842167
INJUSDT,oversold_high_volume,4,42,0.5952,0.447,0.1482,0.0011,0.0017,0.5716573231992075
LDOUSDT,squeeze_breakout_up,24,48,0.625,0.493,0.132,0.0092,0.0075,0.5715767664977295
VETUSDT,squeeze_breakout_down,12,32,0.5938,0.424,0.1698,0.0107,0.0074,0.5703650010585881
ETHUSDT,trend_down_oversold,4,152,0.5789,0.499,0.0799,0.0009,0.0008,0.5702589667577347
PEPEUSDT,bb_near_lower,12,223,0.4753,0.395,0.0803,0.0014,0.0,0.5699487310862849
INJUSDT,rsi_below_35,4,172,0.5291,0.447,0.0821,0.0019,0.001,0.5696985867507846
NEARUSDT,rsi_50_70,24,382,0.4895,0.43,0.0595,0.0069,0.0,0.5692477770258527
INJUSDT,trend_down_oversold,4,162,0.5309,0.447,0.0839,0.0014,0.001,0.566933595697253
ATOMUSDT,rsi_below_30,24,73,0.5342,0.41,0.1242,0.0022,0.0034,0.5668744846529793
DOGEUSDT,rsi_below_40,4,261,0.5364,0.471,0.0654,0.001,0.0008,0.5667437913797111
PEPEUSDT,very_high_volume,4,75,0.5467,0.427,0.1197,0.004,0.003,0.5667269376339963
BTCUSDT,bb_near_lower,12,210,0.5381,0.466,0.0721,0.0021,0.0012,0.5622220885356791
OPUSDT,momentum_12h_neg,24,248,0.5161,0.447,0.0691,0.0019,0.0013,0.5616137690940499
NEARUSDT,trend_down_oversold,4,93,0.5591,0.455,0.1041,0.0038,0.0017,0.5612827511230479
