War Machine v0 Backtest — 60 gün
Tarih: 2026-04-08 19:22
Coinler: BTCUSDT, ETHUSDT, BNBUSDT, SOLUSDT, XRPUSDT, ADAUSDT, AVAXUSDT, DOGEUSDT, LTCUSDT, DOTUSDT

Trades: 198
Win Rate: 37.9%
PnL: $-480.42
Profit Factor: 0.73

Trade Detayları:
----------------------------------------------------------------------------------------------------
03/12 12:00 | ETHUSDT      | $ 2072.3300 → $ 2118.8500 | PnL=$  +20.45 | TIME-EXIT    | 3c
03/12 12:00 | BNBUSDT      | $  650.0300 → $  661.5800 | PnL=$  +15.77 | TIME-EXIT    | 3c
03/12 12:00 | SOLUSDT      | $   86.5800 → $   90.5529 | PnL=$  +43.89 | TAKE-PROFIT  | 3c
03/12 12:00 | XRPUSDT      | $    1.3791 → $    1.4124 | PnL=$  +22.15 | TIME-EXIT    | 3c
03/12 12:00 | DOGEUSDT     | $    0.0941 → $    0.0968 | PnL=$  +26.38 | TIME-EXIT    | 3c
03/12 12:00 | LTCUSDT      | $   54.3300 → $   55.2600 | PnL=$  +15.12 | TIME-EXIT    | 3c
03/12 12:00 | DOTUSDT      | $    1.5030 → $    1.5330 | PnL=$  +17.96 | TIME-EXIT    | 3c
03/13 00:00 | ADAUSDT      | $    0.2717 → $    0.2715 | PnL=$   -2.74 | TIME-EXIT    | 3c
03/13 04:00 | XRPUSDT      | $    1.4153 → $    1.3942 | PnL=$  -16.88 | STOP-LOSS    | 3c
03/13 04:00 | DOTUSDT      | $    1.5060 → $    1.4771 | PnL=$  -21.16 | STOP-LOSS    | 3c
03/13 08:00 | SOLUSDT      | $   90.3300 → $   88.2957 | PnL=$  -24.52 | STOP-LOSS    | 3c
03/13 12:00 | BTCUSDT      | $71831.4600 → $70685.7807 | PnL=$  -17.95 | STOP-LOSS    | 2c
03/13 12:00 | ETHUSDT      | $ 2128.0100 → $ 2082.1564 | PnL=$  -23.55 | STOP-LOSS    | 2c
03/13 12:00 | BNBUSDT      | $  662.2100 → $  652.6129 | PnL=$  -16.49 | STOP-LOSS    | 3c
03/13 12:00 | AVAXUSDT     | $    9.8900 → $    9.6800 | PnL=$  -23.23 | STOP-LOSS    | 2c
